"","resultId","raceId","driverId","constructorId","number","grid","position","positionText","positionOrder","points","laps","time","milliseconds","fastestLap","rank","fastestLapTime","statusId","driverRef","number_drivers","code","forename","surname","dob","nationality","driverStandingsId","wins"
"3629",3629,189,68,21,"15",22,"\N","R",18,0,7,"\N","\N","\N","\N","\N",7,"takagi","\N","\N","Toranosuke","Takagi","1974-02-12","Japanese",11341,0
"3630",3630,189,41,16,"23",13,"\N","R",19,0,6,"\N","\N","\N","\N","\N",5,"zonta","\N","ZON","Ricardo","Zonta","1976-03-23","Brazilian",11356,0
"3631",3631,189,44,20,"18",12,"\N","R",20,0,5,"\N","\N","\N","\N","\N",5,"panis","\N","\N","Olivier","Panis","1966-09-02","French",11344,0
"3632",3632,189,71,17,"7",9,"\N","R",21,0,0,"\N","\N","\N","\N","\N",4,"damon_hill","\N","\N","Damon","Hill","1960-09-17","British",11348,0
"3633",3633,189,15,20,"19",18,"\N","W",22,0,0,"\N","\N","\N","\N","\N",5,"trulli","\N","TRU","Jarno","Trulli","1974-07-13","Italian",11354,0
"3634",3634,190,57,1,"1",2,"1","1",1,10,53,"1:31:18.785","5478785","\N","\N","\N",1,"hakkinen","\N","\N","Mika","Häkkinen","1968-09-28","Finnish",11366,5
"3635",3635,190,30,6,"3",1,"2","2",2,6,53,"+5.015","5483800","\N","\N","\N",1,"michael_schumacher","\N","MSC","Michael","Schumacher","1969-01-03","German",11365,2
"3636",3636,190,56,6,"4",5,"3","3",3,4,53,"+1:35.688","5574473","\N","\N","\N",1,"irvine","\N","\N","Eddie","Irvine","1965-11-10","British",11358,4
"3637",3637,190,49,17,"8",4,"4","4",4,3,53,"+1:38.635","5577420","\N","\N","\N",1,"frentzen","\N","\N","Heinz-Harald","Frentzen","1967-05-18","German",11359,2
"3638",3638,190,23,3,"6",9,"5","5",5,2,53,"+1:39.494","5578279","\N","\N","\N",1,"ralf_schumacher","\N","SCH","Ralf","Schumacher","1975-06-30","German",11360,0
"3639",3639,190,55,15,"11",10,"6","6",6,1,52,"\N","\N","\N","\N","\N",11,"alesi","\N","\N","Jean","Alesi","1964-06-11","French",11372,0
"3640",3640,190,65,24,"17",8,"7","7",7,0,52,"\N","\N","\N","\N","\N",11,"herbert","\N","\N","Johnny","Herbert","1964-06-25","British",11375,1
"3641",3641,190,22,24,"16",13,"8","8",8,0,52,"\N","\N","\N","\N","\N",11,"barrichello","\N","BAR","Rubens","Barrichello","1972-05-23","Brazilian",11362,0
"3642",3642,190,35,16,"22",11,"9","9",9,0,52,"\N","\N","\N","\N","\N",11,"villeneuve","\N","VIL","Jacques","Villeneuve","1971-04-09","Canadian",11380,0
"3643",3643,190,25,22,"10",15,"10","10",10,0,52,"\N","\N","\N","\N","\N",11,"wurz","\N","WUR","Alexander","Wurz","1974-02-15","Austrian",11368,0
"3644",3644,190,64,15,"12",17,"11","11",11,0,52,"\N","\N","\N","\N","\N",11,"diniz","\N","\N","Pedro","Diniz","1970-05-22","Brazilian",11378,0
"3645",3645,190,41,16,"23",18,"12","12",12,0,52,"\N","\N","\N","\N","\N",11,"zonta","\N","ZON","Ricardo","Zonta","1976-03-23","Brazilian",11379,0
"3646",3646,190,37,21,"14",21,"13","13",13,0,51,"\N","\N","\N","\N","\N",12,"rosa","\N","DLR","Pedro","de la Rosa","1971-02-24","Spanish",11363,0
"3647",3647,190,21,22,"9",14,"14","14",14,0,47,"\N","\N","\N","\N","\N",5,"fisichella","\N","FIS","Giancarlo","Fisichella","1973-01-14","Italian",11361,0
"3648",3648,190,68,21,"15",19,"\N","R",15,0,43,"\N","\N","\N","\N","\N",6,"takagi","\N","\N","Toranosuke","Takagi","1974-02-12","Japanese",11364,0
"3649",3649,190,69,18,"20",22,"\N","R",16,0,43,"\N","\N","\N","\N","\N",5,"badoer","\N","BAD","Luca","Badoer","1971-01-25","Italian",11374,0
"3650",3650,190,14,1,"2",3,"\N","R",17,0,39,"\N","\N","\N","\N","\N",9,"coulthard","\N","COU","David","Coulthard","1971-03-27","British",11370,2
"3651",3651,190,48,18,"21",20,"\N","R",18,0,31,"\N","\N","\N","\N","\N",6,"gene","\N","\N","Marc","Gené","1974-03-29","Spanish",11369,0
"3652",3652,190,71,17,"7",12,"\N","R",19,0,21,"\N","\N","\N","\N","\N",68,"damon_hill","\N","\N","Damon","Hill","1960-09-17","British",11371,0
"3653",3653,190,44,20,"18",6,"\N","R",20,0,19,"\N","\N","\N","\N","\N",91,"panis","\N","\N","Olivier","Panis","1966-09-02","French",11367,0
"3654",3654,190,15,20,"19",7,"\N","R",21,0,3,"\N","\N","\N","\N","\N",5,"trulli","\N","TRU","Jarno","Trulli","1974-07-13","Italian",11377,0
"3655",3655,190,70,3,"5",8,"\N","R",22,0,0,"\N","\N","\N","\N","\N",10,"zanardi","\N","\N","Alessandro","Zanardi","1966-10-23","Italian",11376,0
"3656",3656,191,57,1,"8",1,"1","1",1,10,58,"1:31:46.0","5506000","\N","\N","\N",1,"hakkinen","\N","\N","Mika","Häkkinen","1968-09-28","Finnish",4291,1
"3657",3657,191,14,1,"7",2,"2","2",2,6,58,"+0.702","5506702","\N","\N","\N",1,"coulthard","\N","COU","David","Coulthard","1971-03-27","British",4292,0
"3658",3658,191,49,3,"2",6,"3","3",3,4,57,"\N","\N","\N","\N","\N",11,"frentzen","\N","\N","Heinz-Harald","Frentzen","1967-05-18","German",4293,0
"3659",3659,191,56,6,"4",8,"4","4",4,3,57,"\N","\N","\N","\N","\N",11,"irvine","\N","\N","Eddie","Irvine","1965-11-10","British",4294,0
"3660",3660,191,35,3,"1",4,"5","5",5,2,57,"\N","\N","\N","\N","\N",11,"villeneuve","\N","VIL","Jacques","Villeneuve","1971-04-09","Canadian",4295,0
"3661",3661,191,65,15,"15",5,"6","6",6,1,57,"\N","\N","\N","\N","\N",11,"herbert","\N","\N","Johnny","Herbert","1964-06-25","British",4296,0
"3662",3662,191,25,22,"6",11,"7","7",7,0,57,"\N","\N","\N","\N","\N",11,"wurz","\N","WUR","Alexander","Wurz","1974-02-15","Austrian",4297,0
"3663",3663,191,71,17,"9",10,"8","8",8,0,57,"\N","\N","\N","\N","\N",11,"damon_hill","\N","\N","Damon","Hill","1960-09-17","British",4298,0
"3664",3664,191,44,20,"11",21,"9","9",9,0,57,"\N","\N","\N","\N","\N",11,"panis","\N","\N","Olivier","Panis","1966-09-02","French",4299,0
"3665",3665,191,21,22,"5",7,"\N","R",10,0,43,"\N","\N","\N","\N","\N",41,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3666",3666,191,55,15,"14",12,"\N","R",11,0,41,"\N","\N","\N","\N","\N",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3667",3667,191,15,20,"12",15,"\N","R",12,0,26,"\N","\N","\N","\N","\N",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3668",3668,191,73,25,"20",19,"\N","R",13,0,25,"\N","\N","\N","\N","\N",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3669",3669,191,63,21,"17",16,"\N","R",14,0,23,"\N","\N","\N","\N","\N",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3670",3670,191,74,18,"23",17,"\N","R",15,0,22,"\N","\N","\N","\N","\N",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3671",3671,191,75,18,"22",22,"\N","R",16,0,8,"\N","\N","\N","\N","\N",86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3672",3672,191,30,6,"3",3,"\N","R",17,0,5,"\N","\N","\N","\N","\N",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3673",3673,191,64,21,"16",20,"\N","R",18,0,2,"\N","\N","\N","\N","\N",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3674",3674,191,23,17,"10",9,"\N","R",19,0,1,"\N","\N","\N","\N","\N",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3675",3675,191,76,24,"19",18,"\N","R",20,0,1,"\N","\N","\N","\N","\N",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3676",3676,191,68,25,"21",13,"\N","R",21,0,1,"\N","\N","\N","\N","\N",20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3677",3677,191,22,24,"18",14,"\N","R",22,0,0,"\N","\N","\N","\N","\N",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3678",3678,192,57,1,"8",1,"1","1",1,10,72,"1:37:12.2","5832200","\N","\N","\N",1,"hakkinen","\N","\N","Mika","Häkkinen","1968-09-28","Finnish",4300,2
"3679",3679,192,14,1,"7",2,"2","2",2,6,72,"+1.102","5833302","\N","\N","\N",1,"coulthard","\N","COU","David","Coulthard","1971-03-27","British",4301,0
"3680",3680,192,30,6,"3",4,"3","3",3,4,72,"+1:00.550","5892750","\N","\N","\N",1,"michael_schumacher","\N","MSC","Michael","Schumacher","1969-01-03","German",4309,0
"3681",3681,192,25,22,"6",5,"4","4",4,3,72,"+1:07.453","5899653","\N","\N","\N",1,"wurz","\N","WUR","Alexander","Wurz","1974-02-15","Austrian",4306,0
"3682",3682,192,49,3,"2",3,"5","5",5,2,71,"\N","\N","\N","\N","\N",11,"frentzen","\N","\N","Heinz-Harald","Frentzen","1967-05-18","German",4302,0
"3683",3683,192,21,22,"5",7,"6","6",6,1,71,"\N","\N","\N","\N","\N",11,"fisichella","\N","FIS","Giancarlo","Fisichella","1973-01-14","Italian",4310,0
"3684",3684,192,35,3,"1",10,"7","7",7,0,71,"\N","\N","\N","\N","\N",11,"villeneuve","\N","VIL","Jacques","Villeneuve","1971-04-09","Canadian",4304,0
"3685",3685,192,56,6,"4",6,"8","8",8,0,71,"\N","\N","\N","\N","\N",11,"irvine","\N","\N","Eddie","Irvine","1965-11-10","British",4303,0
"3686",3686,192,55,15,"14",15,"9","9",9,0,71,"\N","\N","\N","\N","\N",11,"alesi","\N","\N","Jean","Alesi","1964-06-11","French",4311,0
"3687",3687,192,76,24,"19",16,"10","10",10,0,70,"\N","\N","\N","\N","\N",12,"magnussen","\N","MAG","Jan","Magnussen","1973-07-04","Danish",4312,0
"3688",3688,192,65,15,"15",14,"11","11",11,0,67,"\N","\N","\N","\N","\N",82,"herbert","\N","\N","Johnny","Herbert","1964-06-25","British",4305,0
"3689",3689,192,71,17,"9",11,"\N","D",12,0,70,"\N","\N","\N","\N","\N",2,"damon_hill","\N","\N","Damon","Hill","1960-09-17","British",4307,0
"3690",3690,192,44,20,"11",9,"\N","R",13,0,63,"\N","\N","\N","\N","\N",5,"panis","\N","\N","Olivier","Panis","1966-09-02","French",4308,0
"3691",3691,192,22,24,"18",13,"\N","R",14,0,56,"\N","\N","\N","\N","\N",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3692",3692,192,73,25,"20",21,"\N","R",15,0,52,"\N","\N","\N","\N","\N",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3693",3693,192,74,18,"23",19,"\N","R",16,0,44,"\N","\N","\N","\N","\N",37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3694",3694,192,64,21,"16",22,"\N","R",17,0,26,"\N","\N","\N","\N","\N",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3695",3695,192,68,25,"21",17,"\N","R",18,0,19,"\N","\N","\N","\N","\N",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3696",3696,192,63,21,"17",20,"\N","R",19,0,18,"\N","\N","\N","\N","\N",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3697",3697,192,15,20,"12",12,"\N","R",20,0,17,"\N","\N","\N","\N","\N",48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3698",3698,192,75,18,"22",18,"\N","R",21,0,3,"\N","\N","\N","\N","\N",20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3699",3699,192,23,17,"10",8,"\N","R",22,0,0,"\N","\N","\N","\N","\N",20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3700",3700,193,30,6,"3",2,"1","1",1,10,72,"1:48:36.1","6516100","\N","\N","\N",1,"michael_schumacher","\N","MSC","Michael","Schumacher","1969-01-03","German",4322,1
"3701",3701,193,57,1,"8",3,"2","2",2,6,72,"+22.898","6538998","\N","\N","\N",1,"hakkinen","\N","\N","Mika","Häkkinen","1968-09-28","Finnish",4313,2
"3702",3702,193,56,6,"4",4,"3","3",3,4,72,"+57.745","6573845","\N","\N","\N",1,"irvine","\N","\N","Eddie","Irvine","1965-11-10","British",4316,0
"3703",3703,193,25,22,"6",8,"4","4",4,3,72,"+1:08.134","6584234","\N","\N","\N",1,"wurz","\N","WUR","Alexander","Wurz","1974-02-15","Austrian",4319,0
"3704",3704,193,55,15,"14",11,"5","5",5,2,72,"+1:18.286","6594386","\N","\N","\N",1,"alesi","\N","\N","Jean","Alesi","1964-06-11","French",4324,0
"3705",3705,193,14,1,"7",1,"6","6",6,1,72,"+1:19.751","6595851","\N","\N","\N",1,"coulthard","\N","COU","David","Coulthard","1971-03-27","British",4314,0
"3706",3706,193,21,22,"5",10,"7","7",7,0,72,"+1:28.437","6604537","\N","\N","\N",1,"fisichella","\N","FIS","Giancarlo","Fisichella","1973-01-14","Italian",4323,0
"3707",3707,193,71,17,"9",9,"8","8",8,0,71,"\N","\N","\N","\N","\N",11,"damon_hill","\N","\N","Damon","Hill","1960-09-17","British",4320,0
"3708",3708,193,49,3,"2",6,"9","9",9,0,71,"\N","\N","\N","\N","\N",11,"frentzen","\N","\N","Heinz-Harald","Frentzen","1967-05-18","German",4315,0
"3709",3709,193,22,24,"18",14,"10","10",10,0,70,"\N","\N","\N","\N","\N",12,"barrichello","\N","BAR","Rubens","Barrichello","1972-05-23","Brazilian",4326,0
"3710",3710,193,15,20,"12",16,"11","11",11,0,70,"\N","\N","\N","\N","\N",12,"trulli","\N","TRU","Jarno","Trulli","1974-07-13","Italian",4327,0
"3711",3711,193,68,25,"21",13,"12","12",12,0,70,"\N","\N","\N","\N","\N",12,"takagi","\N","\N","Toranosuke","Takagi","1974-02-12","Japanese",4328,0
"3712",3712,193,75,18,"22",19,"13","13",13,0,69,"\N","\N","\N","\N","\N",13,"nakano","\N","\N","Shinji","Nakano","1971-04-01","Japanese",4329,0
"3713",3713,193,73,25,"20",21,"14","14",14,0,68,"\N","\N","\N","\N","\N",14,"rosset","\N","\N","Ricardo","Rosset","1968-07-27","Brazilian",4330,0
"3714",3714,193,44,20,"11",15,"15","15",15,0,65,"\N","\N","\N","\N","\N",5,"panis","\N","\N","Olivier","Panis","1966-09-02","French",4321,0
"3715",3715,193,74,18,"23",20,"\N","R",16,0,63,"\N","\N","\N","\N","\N",20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3716",3716,193,35,3,"1",7,"\N","R",17,0,52,"\N","\N","\N","\N","\N",4,"villeneuve","\N","VIL","Jacques","Villeneuve","1971-04-09","Canadian",4317,0
"3717",3717,193,65,15,"15",12,"\N","R",18,0,46,"\N","\N","\N","\N","\N",4,"herbert","\N","\N","Johnny","Herbert","1964-06-25","British",4318,0
"3718",3718,193,23,17,"10",5,"\N","R",19,0,22,"\N","\N","\N","\N","\N",22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3719",3719,193,63,21,"17",17,"\N","R",20,0,18,"\N","\N","\N","\N","\N",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3720",3720,193,76,24,"19",22,"\N","R",21,0,17,"\N","\N","\N","\N","\N",7,"magnussen","\N","MAG","Jan","Magnussen","1973-07-04","Danish",4325,0
"3721",3721,193,64,21,"16",18,"\N","R",22,0,13,"\N","\N","\N","\N","\N",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3722",3722,194,14,1,"7",1,"1","1",1,10,62,"1:34:25.4","5665400","\N","\N","\N",1,"coulthard","\N","COU","David","Coulthard","1971-03-27","British",4332,1
"3723",3723,194,30,6,"3",3,"2","2",2,6,62,"+4.554","5669954","\N","\N","\N",1,"michael_schumacher","\N","MSC","Michael","Schumacher","1969-01-03","German",4340,1
"3724",3724,194,56,6,"4",4,"3","3",3,4,62,"+51.775","5717175","\N","\N","\N",1,"irvine","\N","\N","Eddie","Irvine","1965-11-10","British",4334,0
"3725",3725,194,35,3,"1",6,"4","4",4,3,62,"+54.59","5719990","\N","\N","\N",1,"villeneuve","\N","VIL","Jacques","Villeneuve","1971-04-09","Canadian",4335,0
"3726",3726,194,49,3,"2",8,"5","5",5,2,62,"+1:17.476","5742876","\N","\N","\N",1,"frentzen","\N","\N","Heinz-Harald","Frentzen","1967-05-18","German",4333,0
"3727",3727,194,55,15,"14",12,"6","6",6,1,61,"\N","\N","\N","\N","\N",11,"alesi","\N","\N","Jean","Alesi","1964-06-11","French",4342,0
"3728",3728,194,23,17,"10",9,"7","7",7,0,60,"\N","\N","\N","\N","\N",12,"ralf_schumacher","\N","SCH","Ralf","Schumacher","1975-06-30","German",4349,0
"3729",3729,194,74,18,"23",19,"8","8",8,0,60,"\N","\N","\N","\N","\N",12,"tuero","\N","\N","Esteban","Tuero","1978-04-22","Argentine",4350,0
"3730",3730,194,63,21,"17",14,"9","9",9,0,60,"\N","\N","\N","\N","\N",12,"salo","\N","\N","Mika","Salo","1966-11-30","Finnish",4351,0
"3731",3731,194,71,17,"9",7,"10","10",10,0,57,"\N","\N","\N","\N","\N",9,"damon_hill","\N","\N","Damon","Hill","1960-09-17","British",4338,0
"3732",3732,194,44,20,"11",13,"11","11",11,0,56,"\N","\N","\N","\N","\N",16,"panis","\N","\N","Olivier","Panis","1966-09-02","French",4339,0
"3733",3733,194,73,25,"20",22,"\N","R",12,0,48,"\N","\N","\N","\N","\N",5,"rosset","\N","\N","Ricardo","Rosset","1968-07-27","Brazilian",4348,0
"3734",3734,194,68,25,"21",15,"\N","R",13,0,40,"\N","\N","\N","\N","\N",5,"takagi","\N","\N","Toranosuke","Takagi","1974-02-12","Japanese",4346,0
"3735",3735,194,15,20,"12",16,"\N","R",14,0,34,"\N","\N","\N","\N","\N",37,"trulli","\N","TRU","Jarno","Trulli","1974-07-13","Italian",4345,0
"3736",3736,194,75,18,"22",21,"\N","R",15,0,27,"\N","\N","\N","\N","\N",5,"nakano","\N","\N","Shinji","Nakano","1971-04-01","Japanese",4347,0
"3737",3737,194,64,21,"16",18,"\N","R",16,0,18,"\N","\N","\N","\N","\N",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3738",3738,194,57,1,"8",2,"\N","R",17,0,17,"\N","\N","\N","\N","\N",6,"hakkinen","\N","\N","Mika","Häkkinen","1968-09-28","Finnish",4331,2
"3739",3739,194,21,22,"5",10,"\N","R",18,0,17,"\N","\N","\N","\N","\N",20,"fisichella","\N","FIS","Giancarlo","Fisichella","1973-01-14","Italian",4341,0
"3740",3740,194,25,22,"6",5,"\N","R",19,0,17,"\N","\N","\N","\N","\N",5,"wurz","\N","WUR","Alexander","Wurz","1974-02-15","Austrian",4337,0
"3741",3741,194,65,15,"15",11,"\N","R",20,0,12,"\N","\N","\N","\N","\N",29,"herbert","\N","\N","Johnny","Herbert","1964-06-25","British",4336,0
"3742",3742,194,76,24,"19",20,"\N","R",21,0,8,"\N","\N","\N","\N","\N",7,"magnussen","\N","MAG","Jan","Magnussen","1973-07-04","Danish",4343,0
"3743",3743,194,22,24,"18",17,"\N","R",22,0,0,"\N","\N","\N","\N","\N",20,"barrichello","\N","BAR","Rubens","Barrichello","1972-05-23","Brazilian",4344,0
"3744",3744,195,57,1,"8",1,"1","1",1,10,65,"1:33:38.3","5618300","\N","\N","\N",1,"hakkinen","\N","\N","Mika","Häkkinen","1968-09-28","Finnish",4352,3
"3745",3745,195,14,1,"7",2,"2","2",2,6,65,"+9.439","5627739","\N","\N","\N",1,"coulthard","\N","COU","David","Coulthard","1971-03-27","British",4353,1
"3746",3746,195,30,6,"3",3,"3","3",3,4,65,"+47.095","5665395","\N","\N","\N",1,"michael_schumacher","\N","MSC","Michael","Schumacher","1969-01-03","German",4361,1
"3747",3747,195,25,22,"6",5,"4","4",4,3,65,"+1:02.538","5680838","\N","\N","\N",1,"wurz","\N","WUR","Alexander","Wurz","1974-02-15","Austrian",4358,0
"3748",3748,195,22,24,"18",9,"5","5",5,2,64,"\N","\N","\N","\N","\N",11,"barrichello","\N","BAR","Rubens","Barrichello","1972-05-23","Brazilian",4365,0
"3749",3749,195,35,3,"1",10,"6","6",6,1,64,"\N","\N","\N","\N","\N",11,"villeneuve","\N","VIL","Jacques","Villeneuve","1971-04-09","Canadian",4356,0
"3750",3750,195,65,15,"15",7,"7","7",7,0,64,"\N","\N","\N","\N","\N",11,"herbert","\N","\N","Johnny","Herbert","1964-06-25","British",4357,0
"3751",3751,195,49,3,"2",13,"8","8",8,0,63,"\N","\N","\N","\N","\N",12,"frentzen","\N","\N","Heinz-Harald","Frentzen","1967-05-18","German",4354,0
"3752",3752,195,15,20,"12",16,"9","9",9,0,63,"\N","\N","\N","\N","\N",12,"trulli","\N","TRU","Jarno","Trulli","1974-07-13","Italian",4366,0
"3753",3753,195,55,15,"14",14,"10","10",10,0,63,"\N","\N","\N","\N","\N",12,"alesi","\N","\N","Jean","Alesi","1964-06-11","French",4363,0
"3754",3754,195,23,17,"10",11,"11","11",11,0,63,"\N","\N","\N","\N","\N",12,"ralf_schumacher","\N","SCH","Ralf","Schumacher","1975-06-30","German",4370,0
"3755",3755,195,76,24,"19",18,"12","12",12,0,63,"\N","\N","\N","\N","\N",12,"magnussen","\N","MAG","Jan","Magnussen","1973-07-04","Danish",4364,0
"3756",3756,195,68,25,"21",21,"13","13",13,0,63,"\N","\N","\N","\N","\N",12,"takagi","\N","\N","Toranosuke","Takagi","1974-02-12","Japanese",4367,0
"3757",3757,195,75,18,"22",20,"14","14",14,0,63,"\N","\N","\N","\N","\N",12,"nakano","\N","\N","Shinji","Nakano","1971-04-01","Japanese",4368,0
"3758",3758,195,74,18,"23",19,"15","15",15,0,63,"\N","\N","\N","\N","\N",12,"tuero","\N","\N","Esteban","Tuero","1978-04-22","Argentine",4371,0
"3759",3759,195,44,20,"11",12,"16","16",16,0,60,"\N","\N","\N","\N","\N",15,"panis","\N","\N","Olivier","Panis","1966-09-02","French",4360,0
"3760",3760,195,71,17,"9",8,"\N","R",17,0,46,"\N","\N","\N","\N","\N",5,"damon_hill","\N","\N","Damon","Hill","1960-09-17","British",4359,0
"3761",3761,195,56,6,"4",6,"\N","R",18,0,28,"\N","\N","\N","\N","\N",4,"irvine","\N","\N","Eddie","Irvine","1965-11-10","British",4355,0
"3762",3762,195,21,22,"5",4,"\N","R",19,0,28,"\N","\N","\N","\N","\N",4,"fisichella","\N","FIS","Giancarlo","Fisichella","1973-01-14","Italian",4362,0
"3763",3763,195,63,21,"17",17,"\N","R",20,0,21,"\N","\N","\N","\N","\N",5,"salo","\N","\N","Mika","Salo","1966-11-30","Finnish",4372,0
"3764",3764,195,64,21,"16",15,"\N","R",21,0,20,"\N","\N","\N","\N","\N",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3765",3765,196,57,1,"8",1,"1","1",1,10,78,"1:51:24.4","6684400","\N","\N","\N",1,"hakkinen","\N","\N","Mika","Häkkinen","1968-09-28","Finnish",4373,4
"3766",3766,196,21,22,"5",3,"2","2",2,6,78,"+11.475","6695875","\N","\N","\N",1,"fisichella","\N","FIS","Giancarlo","Fisichella","1973-01-14","Italian",4383,0
"3767",3767,196,56,6,"4",7,"3","3",3,4,78,"+41.378","6725778","\N","\N","\N",1,"irvine","\N","\N","Eddie","Irvine","1965-11-10","British",4376,0
"3768",3768,196,63,21,"17",8,"4","4",4,3,78,"+1:00.363","6744763","\N","\N","\N",1,"salo","\N","\N","Mika","Salo","1966-11-30","Finnish",4393,0
"3769",3769,196,35,3,"1",13,"5","5",5,2,77,"\N","\N","\N","\N","\N",11,"villeneuve","\N","VIL","Jacques","Villeneuve","1971-04-09","Canadian",4377,0
"3770",3770,196,64,21,"16",12,"6","6",6,1,77,"\N","\N","\N","\N","\N",11,"diniz","\N","\N","Pedro","Diniz","1970-05-22","Brazilian",4394,0
"3771",3771,196,65,15,"15",9,"7","7",7,0,77,"\N","\N","\N","\N","\N",11,"herbert","\N","\N","Johnny","Herbert","1964-06-25","British",4378,0
"3772",3772,196,71,17,"9",15,"8","8",8,0,76,"\N","\N","\N","\N","\N",12,"damon_hill","\N","\N","Damon","Hill","1960-09-17","British",4380,0
"3773",3773,196,75,18,"22",19,"9","9",9,0,76,"\N","\N","\N","\N","\N",12,"nakano","\N","\N","Shinji","Nakano","1971-04-01","Japanese",4389,0
"3774",3774,196,30,6,"3",4,"10","10",10,0,76,"\N","\N","\N","\N","\N",12,"michael_schumacher","\N","MSC","Michael","Schumacher","1969-01-03","German",4382,1
"3775",3775,196,68,25,"21",20,"11","11",11,0,76,"\N","\N","\N","\N","\N",12,"takagi","\N","\N","Toranosuke","Takagi","1974-02-12","Japanese",4388,0
"3776",3776,196,55,15,"14",11,"12","12",12,0,72,"\N","\N","\N","\N","\N",6,"alesi","\N","\N","Jean","Alesi","1964-06-11","French",4384,0
"3777",3777,196,15,20,"12",10,"\N","R",13,0,56,"\N","\N","\N","\N","\N",6,"trulli","\N","TRU","Jarno","Trulli","1974-07-13","Italian",4387,0
"3778",3778,196,44,20,"11",18,"\N","R",14,0,49,"\N","\N","\N","\N","\N",36,"panis","\N","\N","Olivier","Panis","1966-09-02","French",4381,0
"3779",3779,196,23,17,"10",16,"\N","R",15,0,44,"\N","\N","\N","\N","\N",22,"ralf_schumacher","\N","SCH","Ralf","Schumacher","1975-06-30","German",4391,0
"3780",3780,196,25,22,"6",6,"\N","R",16,0,42,"\N","\N","\N","\N","\N",20,"wurz","\N","WUR","Alexander","Wurz","1974-02-15","Austrian",4379,0
"3781",3781,196,76,24,"19",17,"\N","R",17,0,30,"\N","\N","\N","\N","\N",22,"magnussen","\N","MAG","Jan","Magnussen","1973-07-04","Danish",4385,0
"3782",3782,196,14,1,"7",2,"\N","R",18,0,17,"\N","\N","\N","\N","\N",5,"coulthard","\N","COU","David","Coulthard","1971-03-27","British",4374,1
"3783",3783,196,22,24,"18",14,"\N","R",19,0,11,"\N","\N","\N","\N","\N",22,"barrichello","\N","BAR","Rubens","Barrichello","1972-05-23","Brazilian",4386,0
"3784",3784,196,49,3,"2",5,"\N","R",20,0,5,"\N","\N","\N","\N","\N",4,"frentzen","\N","\N","Heinz-Harald","Frentzen","1967-05-18","German",4375,0
"3785",3785,196,74,18,"23",21,"\N","R",21,0,0,"\N","\N","\N","\N","\N",20,"tuero","\N","\N","Esteban","Tuero","1978-04-22","Argentine",4392,0
"3786",3786,196,73,25,"20",0,"\N","F",22,0,0,"\N","\N","\N","\N","\N",81,"rosset","\N","\N","Ricardo","Rosset","1968-07-27","Brazilian",4390,0
"3787",3787,197,30,6,"3",3,"1","1",1,10,69,"1:40:57.3","6057300","\N","\N","\N",1,"michael_schumacher","\N","MSC","Michael","Schumacher","1969-01-03","German",4404,2
"3788",3788,197,21,22,"5",4,"2","2",2,6,69,"+16.662","6073962","\N","\N","\N",1,"fisichella","\N","FIS","Giancarlo","Fisichella","1973-01-14","Italian",4405,0
"3789",3789,197,56,6,"4",8,"3","3",3,4,69,"+1:00.059","6117359","\N","\N","\N",1,"irvine","\N","\N","Eddie","Irvine","1965-11-10","British",4398,0
"3790",3790,197,25,22,"6",11,"4","4",4,3,69,"+1:03.232","6120532","\N","\N","\N",1,"wurz","\N","WUR","Alexander","Wurz","1974-02-15","Austrian",4401,0
"3791",3791,197,22,24,"18",13,"5","5",5,2,69,"+1:21.513","6138813","\N","\N","\N",1,"barrichello","\N","BAR","Rubens","Barrichello","1972-05-23","Brazilian",4408,0
